budget,genres,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genre_names
237000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19995,150.437577,2009-12-10,2787965087,162.0,Avatar,7.2,11800,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",285,139.082615,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,"['Adventure', 'Fantasy', 'Action']"
245000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",206647,107.376788,2015-10-26,880674609,148.0,Spectre,6.3,4466,"['Action', 'Adventure', 'Crime']"
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",49026,112.31295,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,"['Action', 'Crime', 'Drama', 'Thriller']"
260000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",49529,43.926995,2012-03-07,284139100,132.0,John Carter,6.1,2124,"['Action', 'Adventure', 'Science Fiction']"
258000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",559,115.699814,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,"['Fantasy', 'Action', 'Adventure']"
280000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",99861,134.279229,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,"['Action', 'Adventure', 'Science Fiction']"
250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",767,98.885637,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,"['Adventure', 'Fantasy', 'Family']"
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",209112,155.790452,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,"['Action', 'Adventure', 'Fantasy']"
270000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1452,57.925623,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']"
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",10764,107.928811,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,"['Adventure', 'Action', 'Thriller', 'Crime']"
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",58,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"['Adventure', 'Fantasy', 'Action']"
255000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",57201,49.046956,2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,"['Action', 'Adventure', 'Western']"
225000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",49521,99.398009,2013-06-12,662845518,143.0,Man of Steel,6.5,6359,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
225000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2454,53.978602,2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,"['Adventure', 'Family', 'Fantasy']"
220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,144.448633,2012-04-25,1519557910,143.0,The Avengers,7.4,11776,"['Science Fiction', 'Action', 'Adventure']"
380000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1865,135.413856,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"['Adventure', 'Action', 'Fantasy']"
225000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",41154,52.035179,2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,"['Action', 'Comedy', 'Science Fiction']"
